frame,tiempo_s,x_metros,y_metros,velocidad_x_ms,velocidad_y_ms,aceleracion_x_ms2,aceleracion_y_ms2,calidad_deteccion,velocidad_total_ms,energia_cinetica_relativa,energia_potencial_relativa
96,3.2000,1.2792,-0.9094,0.0000,-0.0168,0.0000,0.4947,1.0000,0.0168,0.0001,-8.9215
97,3.2333,1.2792,-0.9094,0.0000,-0.0033,0.0000,0.2513,1.0000,0.0033,0.0000,-8.9215
98,3.2667,1.2792,-0.9094,0.0000,0.0000,0.0000,0.0990,1.0000,0.0000,0.0000,-8.9215
99,3.3000,1.2792,-0.9094,0.0000,0.0033,0.0000,0.2513,1.0000,0.0033,0.0000,-8.9215
100,3.3333,1.2792,-0.9094,0.0000,0.0168,0.0000,0.4947,1.0000,0.0168,0.0001,-8.9215
101,3.3667,1.2792,-0.9094,0.0000,0.0363,0.0000,0.2929,1.0000,0.0363,0.0007,-8.9215
102,3.4000,1.2792,-0.9057,0.0000,0.0363,-0.0001,-0.2929,1.0000,0.0363,0.0007,-8.8845
103,3.4333,1.2792,-0.9057,-0.0000,0.0168,-0.0039,-0.4946,1.0000,0.0168,0.0001,-8.8845
104,3.4667,1.2792,-0.9057,-0.0003,0.0033,-0.0495,-0.2474,1.0000,0.0033,0.0000,-8.8845
105,3.5000,1.2792,-0.9057,-0.0033,0.0003,-0.2474,-0.0495,1.0000,0.0033,0.0000,-8.8845
106,3.5333,1.2792,-0.9057,-0.0168,0.0000,-0.4946,-0.0039,1.0000,0.0168,0.0001,-8.8845
107,3.5667,1.2792,-0.9057,-0.0363,0.0000,-0.2929,-0.0001,1.0000,0.0363,0.0007,-8.8845
108,3.6000,1.2755,-0.9057,-0.0363,0.0000,0.2929,0.0000,1.0000,0.0363,0.0007,-8.8845
109,3.6333,1.2755,-0.9057,-0.0168,0.0000,0.4946,0.0000,1.0000,0.0168,0.0001,-8.8845
110,3.6667,1.2755,-0.9057,-0.0033,0.0000,0.2474,0.0000,1.0000,0.0033,0.0000,-8.8845
111,3.7000,1.2755,-0.9057,-0.0003,0.0000,0.0496,0.0000,1.0000,0.0003,0.0000,-8.8845
112,3.7333,1.2755,-0.9057,0.0000,0.0000,0.0078,0.0000,1.0000,0.0000,0.0000,-8.8845
113,3.7667,1.2755,-0.9057,0.0003,0.0000,0.0496,0.0000,1.0000,0.0003,0.0000,-8.8845
114,3.8000,1.2755,-0.9057,0.0033,0.0000,0.2474,0.0000,1.0000,0.0033,0.0000,-8.8845
115,3.8333,1.2755,-0.9057,0.0168,0.0000,0.4946,0.0000,1.0000,0.0168,0.0001,-8.8845
116,3.8667,1.2755,-0.9057,0.0363,0.0000,0.2929,0.0000,1.0000,0.0363,0.0007,-8.8845
117,3.9000,1.2792,-0.9057,0.0363,0.0000,-0.2929,0.0000,1.0000,0.0363,0.0007,-8.8845
118,3.9333,1.2792,-0.9057,0.0168,0.0000,-0.4946,0.0000,1.0000,0.0168,0.0001,-8.8845
119,3.9667,1.2792,-0.9057,0.0033,0.0000,-0.2474,0.0000,1.0000,0.0033,0.0000,-8.8845
120,4.0000,1.2792,-0.9057,0.0003,0.0000,-0.0495,0.0000,1.0000,0.0003,0.0000,-8.8845
121,4.0333,1.2792,-0.9057,0.0000,0.0000,-0.0039,0.0000,1.0000,0.0000,0.0000,-8.8845
122,4.0667,1.2792,-0.9057,0.0000,0.0000,-0.0001,0.0000,1.0000,0.0000,0.0000,-8.8845
123,4.1000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
124,4.1333,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
125,4.1667,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
126,4.2000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
127,4.2333,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
128,4.2667,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
129,4.3000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
130,4.3333,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
131,4.3667,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
132,4.4000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
133,4.4333,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
134,4.4667,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
135,4.5000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
